epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,2374.29,0.71253,0.43298,0.93523,0.76271,0.68136,0.72125,0.35185,1.73098,0.92425,1.4736,6.139e-06,6.139e-06,6.139e-06
41,2433.08,0.70475,0.42359,0.93374,0.7938,0.68401,0.72266,0.34764,1.72991,0.89228,1.46492,6.04e-06,6.04e-06,6.04e-06
42,2491.97,0.71968,0.44037,0.93317,0.76482,0.69556,0.72492,0.3498,1.73573,0.89005,1.4646,5.941e-06,5.941e-06,5.941e-06
43,2550.89,0.72739,0.43486,0.93945,0.77035,0.66605,0.71793,0.34951,1.73611,0.90366,1.46662,5.842e-06,5.842e-06,5.842e-06
44,2612.34,0.69918,0.41596,0.93388,0.78029,0.66803,0.72702,0.35448,1.74162,0.8893,1.4717,5.743e-06,5.743e-06,5.743e-06
45,2675.64,0.70415,0.41159,0.92955,0.7518,0.68254,0.72578,0.35032,1.73011,0.88917,1.46609,5.644e-06,5.644e-06,5.644e-06
46,2735.64,0.68472,0.40963,0.92163,0.79075,0.67136,0.73064,0.35276,1.72622,0.87874,1.4614,5.545e-06,5.545e-06,5.545e-06
47,2794.63,0.69953,0.43192,0.9372,0.76581,0.67952,0.72365,0.34992,1.73499,0.88313,1.47088,5.446e-06,5.446e-06,5.446e-06
48,2854.63,0.72287,0.43038,0.93507,0.83181,0.6451,0.72698,0.35329,1.72236,0.88912,1.46789,5.347e-06,5.347e-06,5.347e-06
49,2913.35,0.68684,0.41447,0.93689,0.80074,0.66932,0.72931,0.35574,1.72532,0.88824,1.4748,5.248e-06,5.248e-06,5.248e-06
50,2971.93,0.70327,0.4168,0.93403,0.75956,0.70314,0.72522,0.3504,1.72909,0.87819,1.46762,5.149e-06,5.149e-06,5.149e-06
51,3032.29,0.7188,0.42956,0.93579,0.7315,0.70492,0.72279,0.34963,1.7351,0.88598,1.46241,5.05e-06,5.05e-06,5.05e-06
52,3091.01,0.69611,0.41569,0.93573,0.76422,0.69556,0.72786,0.35361,1.72032,0.86814,1.44161,4.951e-06,4.951e-06,4.951e-06
53,3149.38,0.70157,0.41743,0.93146,0.76968,0.69992,0.72883,0.35236,1.72263,0.86836,1.44446,4.852e-06,4.852e-06,4.852e-06
54,3208.49,0.70394,0.42161,0.92843,0.77909,0.68462,0.72517,0.35282,1.72185,0.89072,1.44509,4.753e-06,4.753e-06,4.753e-06
55,3267.38,0.659,0.40607,0.91806,0.79188,0.69251,0.72958,0.3572,1.72889,0.88413,1.45066,4.654e-06,4.654e-06,4.654e-06
56,3328.13,0.693,0.41822,0.92408,0.78056,0.687,0.7318,0.35521,1.72773,0.87909,1.45454,4.555e-06,4.555e-06,4.555e-06
57,3387.94,0.66725,0.40243,0.91285,0.79537,0.6943,0.72837,0.35681,1.7268,0.86152,1.45717,4.456e-06,4.456e-06,4.456e-06
58,3448.13,0.68061,0.39958,0.92554,0.7956,0.68457,0.72559,0.36003,1.73117,0.88009,1.4544,4.357e-06,4.357e-06,4.357e-06
59,3508.65,0.68062,0.40605,0.91201,0.7887,0.69334,0.72754,0.35678,1.72708,0.88112,1.4543,4.258e-06,4.258e-06,4.258e-06
60,3571.75,0.68298,0.40585,0.91961,0.81343,0.66339,0.72594,0.35919,1.73952,0.87561,1.46267,4.159e-06,4.159e-06,4.159e-06
61,3633.11,0.67726,0.40369,0.92503,0.79645,0.67845,0.72779,0.3524,1.73279,0.8617,1.46167,4.06e-06,4.06e-06,4.06e-06
62,3693.86,0.68535,0.40498,0.92491,0.78741,0.68859,0.73038,0.35754,1.74466,0.87499,1.46303,3.961e-06,3.961e-06,3.961e-06
63,3754.34,0.67093,0.40607,0.92029,0.80224,0.67929,0.73184,0.35405,1.7295,0.87673,1.44979,3.862e-06,3.862e-06,3.862e-06
64,3815,0.65474,0.39834,0.91539,0.79912,0.67138,0.71611,0.35594,1.73515,0.87198,1.45488,3.763e-06,3.763e-06,3.763e-06
65,3877.77,0.65457,0.38923,0.91971,0.79115,0.687,0.72711,0.35586,1.72821,0.8654,1.44854,3.664e-06,3.664e-06,3.664e-06
66,3938.3,0.67083,0.4008,0.91954,0.80245,0.6814,0.73328,0.35521,1.72363,0.87902,1.44664,3.565e-06,3.565e-06,3.565e-06
67,3998.71,0.66941,0.39108,0.91983,0.81148,0.6682,0.7238,0.34866,1.73004,0.89343,1.44793,3.466e-06,3.466e-06,3.466e-06
68,4058.25,0.66911,0.40046,0.92376,0.80384,0.67212,0.72715,0.35108,1.7271,0.89925,1.45147,3.367e-06,3.367e-06,3.367e-06
