epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,5184.51,0.99054,0.6084,1.03355,0.78026,0.70193,0.75539,0.34877,1.76721,0.91455,1.38604,8.119e-06,8.119e-06,8.119e-06
40,5430.98,0.94343,0.57173,1.00797,0.81699,0.69621,0.75321,0.35327,1.75542,0.87004,1.38668,8.0695e-06,8.0695e-06,8.0695e-06
41,5564.7,0.94923,0.56605,1.00894,0.82431,0.70077,0.76454,0.3545,1.7564,0.89227,1.38047,8.02e-06,8.02e-06,8.02e-06
42,5769.34,0.96736,0.58637,1.01849,0.81354,0.71703,0.76975,0.35112,1.7646,0.85708,1.37411,7.9705e-06,7.9705e-06,7.9705e-06
43,5880.14,0.94564,0.56728,1.00784,0.79841,0.727,0.7644,0.35493,1.74234,0.83877,1.37603,7.921e-06,7.921e-06,7.921e-06
44,6063.44,0.97046,0.56348,1.02263,0.86797,0.70254,0.77381,0.36843,1.74226,0.82507,1.38132,7.8715e-06,7.8715e-06,7.8715e-06
45,6189.96,0.94329,0.56064,1.01236,0.79445,0.70587,0.75736,0.34727,1.78182,0.87303,1.40358,7.822e-06,7.822e-06,7.822e-06
46,6262.26,0.93241,0.56309,1.00731,0.79656,0.737,0.77668,0.35848,1.77256,0.82287,1.39861,7.7725e-06,7.7725e-06,7.7725e-06
47,6428.4,0.90788,0.54923,0.99972,0.79568,0.71902,0.75434,0.35364,1.76468,0.85068,1.38793,7.723e-06,7.723e-06,7.723e-06
48,6516.85,0.92792,0.55697,1.01301,0.83436,0.71694,0.77877,0.3627,1.74051,0.82195,1.36734,7.6735e-06,7.6735e-06,7.6735e-06
49,6667.43,0.92253,0.5659,1.00774,0.82864,0.71951,0.78482,0.35604,1.75991,0.85233,1.37743,7.624e-06,7.624e-06,7.624e-06
50,6752.03,0.93994,0.56153,1.0044,0.79055,0.72922,0.77552,0.34998,1.7552,0.83409,1.37231,7.5745e-06,7.5745e-06,7.5745e-06
